"disasterNumber","state","county","city","zipCode","validRegistrations","averageFemaInspectedDamage","totalInspected","totalDamage","noFemaInspectedDamage","femaInspectedDamageBetween1And10000","femaInspectedDamageBetween10001And20000","femaInspectedDamageBetween20001And30000","femaInspectedDamageGreaterThan30000","approvedForFemaAssistance","totalApprovedIhpAmount","repairReplaceAmount","rentalAmount","otherNeedsAmount","approvedBetween1And10000","approvedBetween10001And25000","approvedBetween25001AndMax","totalMaxGrants","id"
1439,"TX","Harris (County)","HOUSTON","77084",16,5059.41,13,80950.56,2,7,3,1,0,11,37617.72,24827.35,7408,5382.37,7,3,1,0,"24a62203-17a7-48d6-bd99-eee1af034cc4"
1439,"TX","Harris (County)","HOUSTON","77086",42,5973.68,40,250894.41,3,29,6,2,0,34,156898.06,72134.79,34798,49965.27,17,11,6,0,"4017541a-e455-4c6a-90b1-5d52e4ea21e4"
1439,"TX","Harris (County)","HOUSTON","77087",4,3159.29,4,12637.15,0,4,0,0,0,4,14758.58,8016.19,4168,2574.39,1,3,0,0,"5eb2cc85-3e07-42e8-95b3-a872174d0593"
1439,"TX","Harris (County)","HOUSTON","77088",119,8568.97,113,1019707.51,7,54,44,7,1,79,361125.52,109497.19,113919.33,134468.71,54,9,16,0,"7db26aae-eb8b-425e-856c-0e5681957b17"
1439,"TX","Harris (County)","HOUSTON","77089",1,458.48,1,458.48,0,1,0,0,0,1,458.48,458.48,0,0,1,0,0,0,"1e39834f-47c7-41cf-aa76-09cd2963d5e6"
1439,"TX","Harris (County)","HOUSTON","77090",1,3756.48,1,3756.48,0,1,0,0,0,1,5840.48,2465.73,2084,1290.75,0,1,0,0,"76beff5e-c465-4f28-8257-fbc834b29bf3"
1439,"TX","Harris (County)","HOUSTON","77091",6,899.92,6,5399.49,3,3,0,0,0,2,2442.04,1978.03,0,464.01,2,0,0,0,"209a8058-1810-4b70-839f-475dec56a327"
1439,"TX","Harris (County)","HOUSTON","77092",5,1812.62,4,9063.09,3,1,0,0,0,0,0,0,0,0,0,0,0,0,"26b678ad-2f86-45f8-9f17-9dbd71d022c4"
1439,"TX","Harris (County)","HOUSTON","77093",38,5222.32,35,198448.28,6,23,4,2,0,28,168019.96,56442.51,25012,86565.45,14,5,9,0,"c71c05f3-5313-403e-8a5c-a86ece09bfa9"
1439,"TX","Harris (County)","HOUSTON","77095",1,2240.42,1,2240.42,0,1,0,0,0,1,2240.42,2129.69,0,110.73,1,0,0,0,"d1113614-4bd3-4f85-ad06-baa224d5f3a1"
1439,"TX","Harris (County)","HOUSTON","77097",1,8871.47,1,8871.47,0,1,0,0,0,1,10825.72,5000,1494,4331.72,0,0,1,0,"fb78bba6-c053-4755-ba12-e4b92d7de78a"
1439,"TX","Harris (County)","HOUSTON","77099",2,41.43,1,82.86,0,1,0,0,0,1,2657.86,2657.86,0,0,1,0,0,0,"e2c385cc-691f-41de-a17e-781942465ac4"
1439,"TX","Harris (County)","HOUSTON","77396",1,18864.38,1,18864.38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"7351430f-fb58-4a8b-8bc1-83eb9a0bbe1a"
1439,"TX","Harris (County)","HOUSTON","77476",1,252.48,1,252.48,0,1,0,0,0,1,3387.79,252.48,0,3135.31,1,0,0,0,"d937872d-f8a6-4635-8804-65d2d2bfe172"
1439,"TX","Harris (County)","HUFFMAN","77336",11,5480.82,9,60289.04,0,7,2,0,0,7,45976.15,27075.77,7218,11682.38,1,5,1,0,"f7c368a3-f2e0-4ca4-8977-52756cef3d03"
1439,"TX","Harris (County)","HUMBLE","77338",17,8089.73,15,137525.4,0,8,6,1,0,12,50540.64,38252.91,6480,5807.73,6,5,1,0,"43cde6c4-cce1-414a-97e0-56191b70c61f"
1439,"TX","Harris (County)","HUMBLE","77339",13,7771.43,13,101028.54,0,10,2,0,1,11,43254.34,29134.33,5324,8796.01,6,4,1,0,"e695f0ab-8b2e-48c6-9092-0ee141064c27"
1439,"TX","Harris (County)","HUMBLE","77346",19,4197.34,17,79749.38,1,13,3,0,0,12,62133.33,34444.77,9610,18078.56,7,3,2,0,"5ceacbbc-4ba2-4f9e-bba4-f197533645d6"
1439,"TX","Harris (County)","HUMBLE","77396",29,5591.68,21,162158.76,2,14,4,1,0,14,94800.49,50906.65,8564,35329.84,3,6,5,0,"f5221237-4c0a-45c5-a787-cccd29594195"
1439,"TX","Harris (County)","JERSEY VILLAGE","77040",2,5823.66,2,11647.31,0,1,1,0,0,1,2089.5,2089.5,0,0,1,0,0,0,"28fb17d0-eb54-4ca6-a6f1-c03532208870"
1439,"TX","Harris (County)","KATY","77449",3,3053.95,3,9161.86,0,3,0,0,0,3,13687.58,4450.63,2650,6586.95,1,2,0,0,"309fefbc-140d-475f-8e8a-34f635be5e98"
1439,"TX","Harris (County)","KINGWOOD","77339",7,4942.45,6,34597.17,0,5,1,0,0,6,26673.96,15210.05,3948,7515.91,3,2,1,0,"f42ce4a9-9c92-46db-9e77-d932345c67c5"
1439,"TX","Harris (County)","LA PORTE","77571",1,5244.3,1,5244.3,0,1,0,0,0,1,3443.97,3443.97,0,0,0,1,0,0,"dcb1df00-d4ea-43de-9898-47fcc2202f73"
1439,"TX","Harris (County)","PASADENA","77503",4,2841.75,4,11366.98,2,1,1,0,0,2,7534.72,5222.72,2312,0,1,1,0,0,"10c053d6-5c39-41bf-a591-30746705ce68"
1439,"TX","Harris (County)","PASADENA","77506",5,2387.13,5,11935.67,1,4,0,0,0,4,18318.22,11935.67,3240,3142.55,2,1,1,0,"97c81d1a-e18f-4353-98cc-dc016f35cb29"
1439,"TX","Harris (County)","PATTISON","77466",1,7330.14,1,7330.14,0,1,0,0,0,1,13824.14,2550.7,1494,9779.44,0,0,1,0,"bb6343b7-3b61-4264-94a2-993aea834ea9"
1439,"TX","Harris (County)","SEABROOK","77586",1,11345.8,1,11345.8,0,0,1,0,0,1,5496.24,0,0,5496.24,0,1,0,0,"4ca5b45f-abbf-49d4-a9fd-2112a6c8831c"
1439,"TX","Harris (County)","SIMONTON","77476",1,1999.55,1,1999.55,0,1,0,0,0,1,6289.88,1999.55,1156,3134.33,0,1,0,0,"ce386c37-06b1-4585-bcaa-9fdf39830231"
1439,"TX","Harris (County)","SOUTH HOUSTON","77587",1,6129.79,1,6129.79,0,1,0,0,0,1,8213.79,4572.03,2084,1557.76,0,1,0,0,"79e64261-5ace-453e-a41f-efd6b998c211"
1439,"TX","Harris (County)","SPRING","77373",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dc03f82e-1f4b-4350-9ddb-21effdae65ef"
1439,"TX","Harris (County)","SPRING","77379",1,14094.74,1,14094.74,0,0,1,0,0,1,10672.57,5000,0,5672.57,0,0,1,0,"fb65f41f-06eb-4181-9145-3e9edb198088"
1439,"TX","Harris (County)","SPRING","77388",1,4623.46,1,4623.46,0,1,0,0,0,1,5779.46,4623.46,1156,0,0,1,0,0,"cd4722ed-d64b-45cf-87ee-150deaaf50af"
1439,"TX","Harris (County)","SPRING","77389",2,5566.83,2,11133.65,0,2,0,0,0,1,4978.13,3822.13,1156,0,0,1,0,0,"0943eb05-407a-4033-9f66-7b44634540b0"
1439,"TX","Harris (County)","TOMBALL","77375",3,4673.83,3,14021.49,0,2,1,0,0,3,11286.62,5628.91,2312,3345.71,2,1,0,0,"eb7f372f-10a5-4c20-9bcd-03a4b8e50829"
1439,"TX","Harris (County)","TOMBALL","77377",3,3149.23,3,9447.69,2,1,0,0,0,1,6156,5000,1156,0,0,1,0,0,"4983bdd0-fd00-43c7-8090-b593efd2daeb"
1439,"TX","Hidalgo (County)","ABRAM","78572",1,867.27,1,867.27,0,1,0,0,0,1,867.27,867.27,0,0,1,0,0,0,"e96746cf-3f2f-4099-a6db-7240309bc604"
1439,"TX","Hidalgo (County)","ALAMO","78516",180,1309.15,172,235647.67,8,164,0,0,0,158,261112.13,167185.87,41828,52098.26,133,25,0,0,"1e460420-a495-4391-84c1-cda43a1b92bc"
1439,"TX","Hidalgo (County)","BORDER HEIGHTS","78537",1,2995.11,1,2995.11,0,1,0,0,0,1,2995.11,350.52,0,2644.59,1,0,0,0,"d34eff60-9d4b-4c1f-bdc0-8967be1c0edf"
1439,"TX","Hidalgo (County)","DONNA","78537",258,1400.38,246,361299.12,6,239,1,0,0,226,405940.68,238930.19,63990,103020.49,185,40,1,0,"64ad8cef-511e-49c0-85ca-fa95685edcd0"
1439,"TX","Hidalgo (County)","EDCOUCH","78538",290,1550.18,275,449552.98,10,265,0,0,0,257,469766.96,331129.73,50728,87909.23,216,41,0,0,"795c8fb7-dda3-4142-b3fa-5081fc0794bb"
1439,"TX","Hidalgo (County)","EDCOUCH","78543",1,269.46,1,269.46,0,1,0,0,0,1,269.46,269.46,0,0,1,0,0,0,"beb49da5-4123-410a-ae00-1b09d189781d"
1439,"TX","Hidalgo (County)","EDINBURG","78539",701,1833.42,664,1285229.01,45,612,6,1,0,587,1449435.73,852231.82,223594,373609.91,446,127,14,0,"872a4209-53aa-4abd-be93-5d55a22e1d60"
1439,"TX","Hidalgo (County)","EDINBURG","78540",33,1492.69,32,49258.77,4,27,1,0,0,26,55790.94,37384.89,9242,9164.05,20,6,0,0,"5e7207a5-8394-424b-afb4-753df92f20fd"
1439,"TX","Hidalgo (County)","EDINBURG","78541",682,1802.01,649,1228969.94,42,602,5,0,0,577,1361931.07,791255.22,203462,367213.85,435,130,12,0,"d3eafeff-db28-4d65-a39b-0cdec34e862b"
1439,"TX","Hidalgo (County)","EDINBURG","78554",1,1664.96,1,1664.96,0,1,0,0,0,1,1664.96,1664.96,0,0,1,0,0,0,"d8617b1b-f0bd-4231-803b-76236d2d98d6"
1439,"TX","Hidalgo (County)","EDINBURG","78593",1,4469.87,1,4469.87,0,1,0,0,0,1,5255.87,1397.88,786,3071.99,0,1,0,0,"b147fc80-ad11-4b86-97f6-12f4fec02976"
1439,"TX","Hidalgo (County)","ELSA","78538",1,40.4,1,40.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"95c188f5-f11a-4fba-b1e1-ba8bb15d04e6"
1439,"TX","Hidalgo (County)","ELSA","78543",258,1736.15,230,447925.72,16,211,3,0,0,208,466208.54,320329.71,55870,90008.83,160,45,3,0,"96d1bdd5-466b-4cd9-a67a-0328c3265aa8"
1439,"TX","Hidalgo (County)","ELSA","78546",1,6895.76,1,6895.76,0,1,0,0,0,1,8017.76,3308.24,1122,3587.52,0,1,0,0,"de9ec73f-a645-4ea1-ad7e-3e2024a5460e"
1439,"TX","Hidalgo (County)","FAYSVILLE","78541",1,2453.86,1,2453.86,0,1,0,0,0,1,2453.86,2453.86,0,0,1,0,0,0,"661a09f9-1992-4e61-9334-537de252a351"
1439,"TX","Hidalgo (County)","HARGILL","78549",46,2058.22,43,94678.04,0,42,1,0,0,42,108374.64,71040.69,14972,22361.95,31,9,2,0,"d0ec6081-88e5-4913-ac83-e93d64109b55"
1439,"TX","Hidalgo (County)","HIDALGO","78557",10,1451.04,9,14510.39,0,9,0,0,0,9,16791.42,8141.36,6846,1804.06,9,0,0,0,"6d0b747d-c590-4088-a665-7ed15c7ab284"
1439,"TX","Hidalgo (County)","LA BLANCA","78539",1,554.69,1,554.69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"a8cbd748-ec85-446a-b68c-d3feac47ec84"
1439,"TX","Hidalgo (County)","LA BLANCA","78558",86,1518.62,83,130601.07,7,76,0,0,0,74,147315.92,88571.94,21824,36919.98,56,17,1,0,"9566ab98-1c3f-4423-8b89-239487ed7e96"
1439,"TX","Hidalgo (County)","LA JOYA","78560",30,1006.35,27,30190.5,5,22,0,0,0,22,47793.24,21379.17,17096,9318.07,17,5,0,0,"852ee07b-7db6-4650-a8c8-49d8a2127685"
1439,"TX","Hidalgo (County)","LAS MILPAS","78577",1,1893.91,1,1893.91,0,1,0,0,0,1,1893.91,1893.91,0,0,1,0,0,0,"e814de21-e152-4f40-85df-a805d5133067"
1439,"TX","Hidalgo (County)","LA VILLA","78562",155,1629.43,147,252561.08,8,138,1,0,0,134,262848.8,179237.36,40512,43099.44,108,24,2,0,"9a4199a4-ef3e-4d1a-9351-f25310628cda"
1439,"TX","Hidalgo (County)","LINN","78563",4,1230.66,4,4922.65,0,4,0,0,0,4,4922.65,4664.93,0,257.72,4,0,0,0,"097baa8c-d7bb-4382-b3e3-017ed18f456c"
1439,"TX","Hidalgo (County)","LOS EBANOS","78565",13,962.86,13,12517.13,1,12,0,0,0,12,16441.4,8068.12,4608,3765.28,11,1,0,0,"a570b85a-5c48-46c7-8f16-78004fae871b"
1439,"TX","Hidalgo (County)","MCALLEN","78501",92,1563.65,77,143856.06,7,70,0,0,0,65,156842.39,106649.62,29568,20624.77,47,18,0,0,"a8bb43f3-d52d-44bd-95ab-24464ef580e8"
1439,"TX","Hidalgo (County)","MCALLEN","78503",47,988.71,44,46469.18,5,39,0,0,0,37,51698.62,31514.16,10002,10182.46,36,1,0,0,"85e78498-c24c-4c1b-a39f-7c816d253ec6"
1439,"TX","Hidalgo (County)","MCALLEN","78504",19,760.52,16,14449.89,2,14,0,0,0,11,13043.12,8307.43,3366,1369.69,10,1,0,0,"bfe0d028-6ea6-40b8-bbc5-2b749f35750e"
1439,"TX","Hidalgo (County)","MERCEDES","78570",346,1765.86,337,610987.08,22,312,3,0,0,304,705844.14,373588.37,135540,196715.77,236,63,5,0,"ddcaa1e6-87f5-448a-aa36-4b6a02cf6281"
1439,"TX","Hidalgo (County)","MISSION","78572",580,1535.74,549,890728.09,31,515,3,0,0,496,1059863.05,530434.85,226141,303287.2,395,94,7,0,"e2d97cf2-9847-465c-ad4c-c0feac68fd0e"
1439,"TX","Hidalgo (County)","MISSION","78573",14,2245.26,14,31433.63,2,12,0,0,0,12,35577.03,19478.57,7106,8992.46,9,2,1,0,"bc93cdc2-be07-45c5-86fe-9a6ab0210fc8"
1439,"TX","Hidalgo (County)","MISSION","78574",612,1415.36,595,866199.94,58,535,2,0,0,527,1089095.79,503804.86,257243,328047.93,432,91,4,0,"822b1232-5d3e-42e4-bb5f-2291cb20db45"
1439,"TX","Hidalgo (County)","MONTE ALTO","78538",15,1365.49,14,20482.36,1,13,0,0,0,11,19985.53,13831.59,3930,2223.94,10,1,0,0,"89303fed-4422-4a61-8e9c-5d2f2b58814f"
1439,"TX","Hidalgo (County)","MONTE ALTO","78543",1,1019.16,1,1019.16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"b610a675-1ad6-41ea-a47f-c6edaef2190f"
1439,"TX","Hidalgo (County)","MONTE  ALTO","78538",1,1766.94,1,1766.94,0,1,0,0,0,1,1766.94,1766.94,0,0,1,0,0,0,"463bbf5c-2b36-4f12-9170-13b60f0686a7"
1439,"TX","Hidalgo (County)","PALMA","78576",1,136.98,1,136.98,0,1,0,0,0,1,136.98,136.98,0,0,1,0,0,0,"d41321e4-66ca-4d33-be55-427442c7496f"
1439,"TX","Hidalgo (County)","PALMVIEW","78572",4,1315,4,5260.01,1,3,0,0,0,2,4910.02,2510.02,0,2400,2,0,0,0,"c73c8d15-d3fc-4912-b1bd-c98666472782"
1439,"TX","Hidalgo (County)","PALMVIEW","78574",2,1217.31,2,2434.62,0,2,0,0,0,2,3334.62,813.95,900,1620.67,2,0,0,0,"14aa04d7-94f4-483d-8207-b64c2b32b4e3"
1439,"TX","Hidalgo (County)","PALM VIEW","78572",1,1344,1,1344,0,1,0,0,0,1,2130,1344,786,0,1,0,0,0,"979b29a7-94c7-46b6-90ec-c15277d9f9ab"
1439,"TX","Hidalgo (County)","PENITAS","78560",1,293,1,293,0,1,0,0,0,1,293,293,0,0,1,0,0,0,"5d116c0d-2aa4-4a97-80fe-4c4c800a7b67"
1439,"TX","Hidalgo (County)","PENITAS","78576",91,2203.5,87,200518.06,7,79,0,0,1,78,184337.08,65704.19,35534,83098.89,62,15,1,0,"7a48cb0c-063f-4ed8-841e-78d5333a1652"
1439,"TX","Hidalgo (County)","PHARR","78577",267,1371.39,246,366160.14,16,229,1,0,0,211,413536.72,283618.11,79660,50258.61,173,37,1,0,"1741d467-d486-4673-afbd-627ab4e01927"
1439,"TX","Hidalgo (County)","PROGRESO","78579",328,1906.85,319,625445.34,16,303,0,0,0,291,724152.2,389847.66,138282,196022.54,212,75,4,0,"b26cc148-93a7-48a5-b838-1624526a0d2f"
1439,"TX","Hidalgo (County)","PROGRESO","78596",8,2049.76,8,16398.04,0,8,0,0,0,8,24321.49,8879.73,7878,7563.76,6,2,0,0,"2a1cd610-3a15-48a4-924e-576ff40c934a"
1439,"TX","Hidalgo (County)","PROGRESO","78599",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"fddcce5a-3ee6-4e0d-849b-951a8e75d4e7"
1439,"TX","Hidalgo (County)","PROGRESO LAKES","78596",2,478.55,2,957.1,0,2,0,0,0,2,957.1,957.1,0,0,2,0,0,0,"a14865e8-461f-40b2-a226-1d3741c077dc"
1439,"TX","Hidalgo (County)","PROGRESSO","78579",2,2227.95,2,4455.9,0,2,0,0,0,2,4455.9,3260.06,0,1195.84,1,1,0,0,"18c90e7d-1ab2-4400-a759-2c1932ba027a"
1439,"TX","Hidalgo (County)","RELAMPAGO","78570",1,511.04,1,511.04,0,1,0,0,0,1,253.32,253.32,0,0,1,0,0,0,"08490acd-f52b-45b2-8071-e5eeac9b1e9d"
1439,"TX","Hidalgo (County)","SAN CARLOS","78539",3,4654.12,3,13962.37,0,3,0,0,0,3,15762.37,9604.21,1800,4358.16,1,1,1,0,"0347b0ac-1469-4f79-ad46-61fdb9270162"
1439,"TX","Hidalgo (County)","SAN CARLOS","78558",1,2349.74,1,2349.74,0,1,0,0,0,1,2349.74,896.18,0,1453.56,1,0,0,0,"c0a7c2f6-0f31-4489-949c-824c680fd325"
1439,"TX","Hidalgo (County)","SAN JUAN","78589",295,1580.52,287,466253.75,22,265,0,0,0,258,564200.28,377839.86,124051,62309.42,208,49,1,0,"4353083b-de65-4dd6-912d-cd8befbf172b"
1439,"TX","Hidalgo (County)","ST CARLOS","78539",1,1647.66,1,1647.66,0,1,0,0,0,1,2433.66,1647.66,786,0,1,0,0,0,"c72787b4-8d2b-4b3a-9483-c034513bca04"
1439,"TX","Hidalgo (County)","SULLIVAN CITY","78595",85,1221.06,80,103789.97,7,73,0,0,0,72,142985.86,64468.72,38614,39903.14,55,16,1,0,"5ce3c9bc-1d9c-4f81-8d4a-33430a4864f1"
1439,"TX","Hidalgo (County)","WESLACO","78579",1,7828.81,1,7828.81,0,1,0,0,0,1,4849.24,3727.24,1122,0,0,1,0,0,"8c637530-df34-476c-a9c1-57aaef0d8dd7"
1439,"TX","Hidalgo (County)","WESLACO","78596",579,1518.43,546,879171.89,48,494,4,0,0,479,951531.63,529035.67,133208,289287.96,385,89,5,0,"cf37f5b6-3ab6-4340-9c04-4e3d98f43b4b"
1439,"TX","Hidalgo (County)","WESLACO","78599",11,920.44,9,10124.86,0,9,0,0,0,8,12520,9656.38,2472,391.62,6,2,0,0,"e4d8b18e-100c-4f8a-87a5-4fe9366bf769"
1439,"TX","Hidalgo (County)","WESTLACO","78596",1,1474.23,1,1474.23,0,1,0,0,0,1,2240.71,1454.71,786,0,1,0,0,0,"5c85dfad-8d13-4129-9b77-0bf0048de1d0"
1439,"TX","Jasper (County)","BROOKELAND","75931",1,1703.64,1,1703.64,0,1,0,0,0,1,1703.64,1703.64,0,0,1,0,0,0,"d46a1d31-e5a3-427c-949c-12b9b7396c02"
1439,"TX","Jasper (County)","BUNA","77612",24,1769.92,24,42478.02,3,21,0,0,0,19,40940.47,32675.21,3600,4665.26,15,4,0,0,"cb6e3616-3b32-4c8d-a672-f323b1fca3df"
1439,"TX","Jasper (County)","EVADALE","77615",2,2998.69,2,5997.37,0,2,0,0,0,1,1112.48,1112.48,0,0,1,0,0,0,"404ba88d-a8f8-4f94-9bd5-d157b610d831"
1439,"TX","Jasper (County)","JASPER","75951",220,765,198,168300.7,21,177,0,0,0,149,177211.81,118105.68,14500,44606.13,138,11,0,0,"2750ffc7-da71-49c2-afd6-d6f00f064991"
1439,"TX","Jasper (County)","KIRBYVILLE","75956",24,2187.86,23,52508.58,2,20,1,0,0,19,51295.16,30765.8,4092,16437.36,16,1,2,0,"69ca766d-3050-44c3-a38c-662a88c52d7d"
1439,"TX","Jasper (County)","PORT AURTHUR","77612",1,2714.14,1,2714.14,0,1,0,0,0,1,2714.14,0,0,2714.14,1,0,0,0,"751ff0db-9611-4180-8662-36198f83b4ba"
1439,"TX","Jasper (County)","WIERGATE","75977",1,985.85,1,985.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3a816e2c-6622-4b08-90e7-21dec8c787ff"
1439,"TX","Jefferson (County)","BEAUMONT","77701",323,3470.26,300,1120892.51,21,253,24,2,0,257,883608.11,499947.07,105648,275690.71,151,85,21,0,"4d188eb2-16c5-4da5-b1ed-1e1b1268c1ac"
1439,"TX","Jefferson (County)","BEAUMONT","77702",9,3190.91,8,28718.15,1,7,0,0,0,5,18901,13573.92,3390,1937.08,3,2,0,0,"6dfbcbbf-db62-4481-81b3-9470db2dd798"
1439,"TX","Jefferson (County)","BEAUMONT","77703",366,2693.04,325,985653.5,34,273,13,5,0,273,884154.62,464582.69,115576,302832.75,180,73,20,0,"128b94e9-c9d4-42c6-a929-cf24cb4a1b47"
1439,"TX","Jefferson (County)","BEAUMONT","77704",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"06c9e2fb-96a2-4d02-a682-a1dad4b7cb39"
1439,"TX","Jefferson (County)","BEAUMONT","77705",335,2503.65,300,838721.84,22,263,13,1,1,258,708940.7,410023.04,82638,216279.66,182,65,11,0,"6e131702-ba05-4afe-9cf1-4079df388dc8"
1439,"TX","Jefferson (County)","BEAUMONT","77706",34,3623,32,123182.01,3,26,2,1,0,24,69187.22,47180.48,13325,8681.74,14,9,1,0,"520f06a8-3d08-4db9-aa6e-2db31b51b67a"
1439,"TX","Jefferson (County)","BEAUMONT","77707",113,7968.07,100,900392.13,11,53,19,12,5,79,473570.99,214400.07,54721.18,204449.74,37,25,17,2,"d62a0396-7473-418d-927f-d12044a0819a"
1439,"TX","Jefferson (County)","BEAUMONT","77708",73,1969,62,143737.33,7,54,1,0,0,54,141274.26,75618.04,16688,48968.22,39,14,1,0,"4adbeaf0-f58d-46bd-9c64-22aa2ed21a26"
1439,"TX","Jefferson (County)","BEAUMONT","77713",30,1818.14,26,54544.17,3,21,2,0,0,21,43254.85,26581.98,9110,7562.87,15,6,0,0,"b958585c-74a1-41ae-8817-79909dcc2fca"
1439,"TX","Jefferson (County)","BEAUMONT","77725",1,483.65,1,483.65,0,1,0,0,0,1,2053.65,483.65,1020,550,1,0,0,0,"5d8c93bb-e9bc-497b-949a-60cdda655e0d"
1439,"TX","Jefferson (County)","CHINA","77613",9,2623.67,9,23613.03,1,8,0,0,0,5,16268.98,13440.11,1858,970.87,2,3,0,0,"fff26927-a420-4e0f-b247-efae9b825648"
1439,"TX","Jefferson (County)","GROVES","77619",6,1336.97,5,8021.79,1,4,0,0,0,3,5435.37,3699.4,0,1735.97,2,1,0,0,"0ef9ac88-6dac-42dd-bdb0-ef158c57ccab"
1439,"TX","Jefferson (County)","NEDERLAND","77627",9,3174.39,9,28569.52,1,8,0,0,0,7,26626.71,19296.23,6890,440.48,3,4,0,0,"130b8bcd-9783-4582-b388-2ae8e14598c3"
1439,"TX","Jefferson (County)","NOME","77629",4,949.25,4,3797.01,0,4,0,0,0,3,4256.46,2085.64,838,1332.82,3,0,0,0,"1a0fa3b6-500c-4fb8-a830-703036a4a25f"
1439,"TX","Jefferson (County)","PORT ARTHUR","77640",468,1457.75,412,682227.32,53,350,9,0,0,325,701705.99,392143.19,147466,162096.8,258,57,10,0,"f55585b8-a058-4a70-b0b6-0569902f31df"
1439,"TX","Jefferson (County)","PORT ARTHUR","77641",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38ceb8e2-55a7-4ef7-867c-cb017e0aea8d"
1439,"TX","Jefferson (County)","PORT ARTHUR","77642",233,1321.87,192,307994.98,29,162,1,0,0,145,307893.64,180417.9,61140,66335.74,114,28,3,0,"a7e58021-ee25-4ef4-97b7-bc207d6e39a7"
1439,"TX","Jefferson (County)","PORT NECHES","77651",3,2384.38,3,7153.15,2,1,0,0,0,1,8173.15,4860.84,1020,2292.31,0,1,0,0,"5803f408-8fc3-4399-97dd-17d0e89cb779"
1439,"TX","Jefferson (County)","SABINE PASS","77655",1,2838.31,1,2838.31,0,1,0,0,0,1,3858.31,2838.31,1020,0,0,1,0,0,"94c66ec6-88af-4e64-a0a6-9dedd7eff9cb"
1439,"TX","Jim Wells (County)","ALICE","78332",191,2376.11,169,453837.11,12,154,2,0,1,147,392057.79,286682,47046,58329.79,112,32,3,0,"985911ce-3800-4124-ac60-4d69f26357d7"
1439,"TX","Jim Wells (County)","ALICE","78333",2,3404.21,2,6808.41,0,2,0,0,0,1,5787.25,5000,0,787.25,0,1,0,0,"6a91f3c4-87d9-4e3f-b2fc-16305bc248a8"
1439,"TX","Jim Wells (County)","BEN BOLT","78342",3,943.31,2,2829.94,0,2,0,0,0,2,4483.94,2829.94,1104,550,1,1,0,0,"b4e26308-6910-4eee-9748-f94983cb0a79"
1439,"TX","Jim Wells (County)","FALFURRIAS","78355",1,1667.78,1,1667.78,0,1,0,0,0,1,1667.78,519.09,824,324.69,1,0,0,0,"fed32a35-3a55-49b9-98c1-8a54e2ba3f45"
1439,"TX","Jim Wells (County)","ORANGE GROVE","78332",1,6497.33,1,6497.33,0,1,0,0,0,1,5000,5000,0,0,0,1,0,0,"9033d9fa-d9d5-47a0-94e0-5852ff7e9986"
1439,"TX","Jim Wells (County)","ORANGE GROVE","78372",30,2803.64,30,84109.3,1,29,0,0,0,27,91253.03,62364.75,9880,19008.28,12,14,1,0,"8c508c60-83d2-44d4-891d-66770aa0459a"
1439,"TX","Jim Wells (County)","PREMONT","78375",15,2411.75,15,36176.28,0,15,0,0,0,14,42238.56,33919.89,6726,1592.67,8,6,0,0,"396db0e3-9c9c-4adc-9484-1e69441d52b2"
1439,"TX","Jim Wells (County)","SANDIA","78383",5,3745.05,5,18725.27,2,2,1,0,0,3,14543.87,11439.54,682,2422.33,1,2,0,0,"cd0e0c17-e4ba-4711-914a-b8cc0020c85c"
1439,"TX","Kleberg (County)","DRISCOLL","78351",1,4592.72,1,4592.72,0,1,0,0,0,1,5858.72,4592.72,1266,0,0,1,0,0,"3d9dac34-5305-4463-816a-03f7ed4f68f9"
1439,"TX","Kleberg (County)","KINGSVILLE","78363",101,2356.29,87,237985.56,2,84,1,0,0,81,239282.24,182009.34,38568,18704.9,55,25,1,0,"966a4404-8783-44b1-bedc-88ddda242259"
1439,"TX","Kleberg (County)","RIVIERA","78379",2,5519.42,2,11038.84,0,2,0,0,0,2,10892.25,7549.91,2172,1170.34,0,2,0,0,"d3b49edb-3b80-4f60-8ec1-295578f73c62"
1439,"TX","Liberty (County)","AMES","77575",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"f2a497dd-2a43-472c-8417-694d7dd502f3"
1439,"TX","Liberty (County)","BATSON","77519",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"05a83e07-f3f7-496a-bcb4-39a9420b2e33"
1439,"TX","Liberty (County)","CLEVELAND","77327",37,3400.54,36,125820.06,3,31,2,0,0,32,135300.49,87594.41,35348,12358.08,12,19,1,0,"26b4917d-a892-4701-9b76-ad109ea8404c"
1439,"TX","Liberty (County)","CLEVELAND","77328",20,2894.13,19,57882.64,2,17,0,0,0,16,72180.41,38051.74,19416,14712.67,5,11,0,0,"77fed2b4-15ef-4ac0-94a6-56d92a21599c"
