"disasterNumber","state","county","city","zipCode","validRegistrations","totalInspected","totalInspectedWithNoDamage","totalWithModerateDamage","totalWithMajorDamage","totalWithSubstantialDamage","approvedForFemaAssistance","totalApprovedIhpAmount","repairReplaceAmount","rentalAmount","otherNeedsAmount","approvedBetween1And10000","approvedBetween10001And25000","approvedBetween25001AndMax","totalMaxGrants","id"
1439,"TX","Hardin (County)","KOUNTZE","77625",12,11,12,0,0,0,10,36584.93,0,7436,29148.93,9,1,0,0,"113004e4-362c-41a6-9606-6677fa00598a"
1439,"TX","Orange (County)","MAURICEVILLE","77626",1,1,1,0,0,0,1,1990.93,0,838,1152.93,1,0,0,0,"9895ba87-3e84-41c7-8067-6c0bc3cf3afe"
1439,"TX","Jefferson (County)","NEDERLAND","77627",4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"24f84799-f349-4f67-b115-f31db015465f"
1439,"TX","Orange (County)","ORANGE","77630",41,36,41,0,0,0,27,72196.19,0,12526,59670.19,25,2,0,0,"dbaa61d6-9d13-4066-9d25-5341b216ab5c"
1439,"TX","Orange (County)","ORANGE","77632",6,6,6,0,0,0,6,15014.42,0,1513,13501.42,5,1,0,0,"7576f227-5cad-445e-aab8-32d677e10c2c"
1439,"TX","Jefferson (County)","PORT ARTHUR","77640",146,131,146,0,0,0,56,137989.86,0,41516,96473.86,55,1,0,0,"f3e8421b-1304-4a9f-a825-36ec4d697c43"
1439,"TX","Jefferson (County)","PORT ARTHUR","77641",1,1,1,0,0,0,1,1020,0,1020,0,1,0,0,0,"f6d12679-3997-4a40-9063-74918398a672"
1439,"TX","Jefferson (County)","PORT ARTHUR","77642",77,69,77,0,0,0,36,77475.2,0,17026,60449.2,35,1,0,0,"659fd44c-3fc8-43da-a10d-4269a00b12ec"
1439,"TX","Hardin (County)","SILSBEE","77656",133,131,133,0,0,0,100,188238.19,0,56825,131413.19,100,0,0,0,"aadb2246-918c-4432-926a-3a4695f650bc"
1439,"TX","Hardin (County)","LUMBERTON","77657",4,4,4,0,0,0,3,15904.74,0,2370,13534.74,2,1,0,0,"6c67db90-8d77-42f3-8e9d-7cdf87c08ec2"
1439,"TX","Hardin (County)","SOUR LAKE","77659",1,1,1,0,0,0,1,1990.93,0,838,1152.93,1,0,0,0,"4a9affff-a6d1-47a4-b2e6-d3f07f9964b9"
1439,"TX","Orange (County)","VIDOR","77662",30,26,30,0,0,0,17,40561.05,0,12176,28385.05,17,0,0,0,"9e027925-ec74-4562-a14e-9a33aa717ed3"
1439,"TX","Jefferson (County)","BEAUMONT","77701",260,240,260,0,0,0,179,605268.91,2570.55,100406,502292.36,170,8,1,1,"88421d6b-97de-4b4b-a1a7-63132b417e53"
1439,"TX","Jefferson (County)","BEAUMONT","77702",34,27,34,0,0,0,22,50417.02,0,11304,39113.02,22,0,0,0,"bf16aee6-b953-42c7-b280-7731093062a0"
1439,"TX","Jefferson (County)","BEAUMONT","77703",499,459,499,0,0,0,355,1071302.38,2502.69,199939,868860.69,346,9,0,0,"b565c68b-535b-47fa-a048-af52d6f50a7d"
1439,"TX","Jefferson (County)","BEAUMONT","77704",2,2,2,0,0,0,1,550,0,0,550,1,0,0,0,"19ec67e5-98d1-45f1-88c7-9b3957000f65"
1439,"TX","Harris (County)","BEAUMONT","77705",1,1,1,0,0,0,1,7416.54,0,1494,5922.54,1,0,0,0,"32ec3125-36e5-42f2-a1c0-646c47cfae33"
1439,"TX","Jefferson (County)","BEAUMONT","77705",444,407,444,0,0,0,307,838851.72,129.72,168969,669753,303,4,0,0,"441b56c3-6a66-4348-be18-ecf00ef2ba1e"
1439,"TX","Jefferson (County)","BEAUMONT","77706",79,68,79,0,0,0,53,143207.68,0,26908,116299.68,52,1,0,0,"f4f298e3-345d-4be2-8ffb-4c6ae548fcd5"
1439,"TX","Jefferson (County)","BEAUMONT","77707",122,108,122,0,0,0,82,345172.96,0,59396,285776.96,74,8,0,0,"9754aa80-d71b-4be6-b1cb-d48d193456dd"
1439,"TX","Jefferson (County)","BEAUMONT","77708",151,134,151,0,0,0,106,337756,0,63328,274428,100,6,0,0,"d10ac7d2-f3b5-4dd2-9fa4-ba8f8fe54101"
1439,"TX","Jefferson (County)","BEAUMONT","77710",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"b987678b-87f1-4cd8-9507-40f7432300b1"
1439,"TX","Jefferson (County)","BEAUMONT","77713",13,13,13,0,0,0,9,19083.48,0,4558,14525.48,9,0,0,0,"1701dfa2-9226-46ba-afc5-1157f07b6eec"
1439,"TX","Jefferson (County)","BEAUMONT","77720",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"ac58bc3f-3d52-4ad8-839e-673b5b089592"
1439,"TX","Walker (County)","BEDIAS","77831",1,1,1,0,0,0,1,1376,0,1376,0,1,0,0,0,"9d657902-c268-473b-bdb4-d7cc615d0ad0"
1439,"TX","Nueces (County)","AGUA DULCE","78330",6,6,6,0,0,0,2,5346.64,0,930,4416.64,2,0,0,0,"66ccc673-8cea-4613-9363-4c4c77ac0cfe"
1439,"TX","Jim Wells (County)","ALICE","78332",40,39,40,0,0,0,23,42270.21,0,14962,27308.21,23,0,0,0,"7de2d68f-b892-478c-b9fb-b2de2df19bd8"
1439,"TX","Jim Wells (County)","ALICE","78333",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"30c72646-c6e9-4599-b2d8-199ecc28492b"
1439,"TX","San Patricio (County)","ARANSAS PASS","78335",1,1,1,0,0,0,1,3773.74,0,930,2843.74,1,0,0,0,"af28cd0e-da29-4626-8328-4fe9b0cf1808"
1439,"TX","Aransas (County)","ARANSAS PASS","78336",6,5,6,0,0,0,4,10140.54,0,2072,8068.54,4,0,0,0,"71409d6b-df17-424f-b845-5222b01e78c5"
1439,"TX","San Patricio (County)","ARANSAS PASS","78336",112,100,112,0,0,0,77,217400.75,0,58587,158813.75,77,0,0,0,"0bfaa6c7-4bdc-46af-95c0-8bd0c120610e"
1439,"TX","Jim Wells (County)","BEN BOLT","78342",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"f9f38334-7e9f-4c0e-8308-6a74b271d942"
1439,"TX","Nueces (County)","BISHOP","78343",11,10,11,0,0,0,8,11698.04,0,6534,5164.04,8,0,0,0,"08c31378-2734-4e4b-8a3d-aff74f3d759e"
1439,"TX","Nueces (County)","DRISCOLL","78351",6,6,6,0,0,0,5,8707.3,0,1186,7521.3,5,0,0,0,"6ae17c53-acb0-4731-8aaa-66d630483329"
1439,"TX","San Patricio (County)","EDROY","78352",1,1,1,0,0,0,1,1186,0,1186,0,1,0,0,0,"bbba8124-a7f8-4a40-8ba7-427be23ad4e4"
1439,"TX","Jim Wells (County)","FALFURRIAS","78355",1,1,1,0,0,0,1,2368.44,0,682,1686.44,1,0,0,0,"e94f5fa2-d36a-4593-a3cc-6b5af8fc313b"
1439,"TX","Aransas (County)","FULTON","78358",6,5,6,0,0,0,5,6936.55,0,2422,4514.55,5,0,0,0,"efa5f169-b574-4a2c-9ef5-0bdcefb14fbc"
1439,"TX","San Patricio (County)","GREGORY","78359",15,14,15,0,0,0,7,18635.29,0,5348,13287.29,7,0,0,0,"beb99bf3-9e0c-45df-9f23-0edc6edf3a46"
1439,"TX","San Patricio (County)","INGLESIDE","78362",21,20,21,0,0,0,15,53665.39,0,14277,39388.39,14,1,0,0,"7fbc1eb6-3581-46b1-80ef-3e2527db8d48"
1439,"TX","Kleberg (County)","KINGSVILLE","78363",30,24,30,0,0,0,24,38359.37,0,10950,27409.37,24,0,0,0,"3253e510-7200-4ed0-9289-ccffabe5dd40"
1439,"TX","San Patricio (County)","MATHIS","78368",35,34,35,0,0,0,27,87257.34,0,13687,73570.34,27,0,0,0,"bd05864e-3a22-498d-84f6-ba0dcbb5bf47"
1439,"TX","San Patricio (County)","ODEM","78370",25,25,25,0,0,0,15,29066.75,0,9494,19572.75,15,0,0,0,"a77c57fa-8537-403b-aee8-e39ba645cf92"
1439,"TX","Jim Wells (County)","ORANGE GROVE","78372",4,4,4,0,0,0,3,2148,0,1648,500,3,0,0,0,"a91e9c3b-e610-4338-a55a-50a3b9ebaf40"
1439,"TX","Nueces (County)","PORT ARANSAS","78373",4,2,4,0,0,0,2,9353.43,0,930,8423.43,2,0,0,0,"206a67d1-8a1e-4397-80c1-47280dc28d09"
1439,"TX","San Patricio (County)","PORTLAND","78374",22,13,22,0,0,0,10,24291.5,0,4026,20265.5,10,0,0,0,"dbd49676-acd3-4960-a9da-54c93168bacc"
1439,"TX","Jim Wells (County)","PREMONT","78375",5,5,5,0,0,0,4,7222.58,0,2330,4892.58,4,0,0,0,"58806689-5303-4cb3-b3d1-097e8662c195"
1439,"TX","Kleberg (County)","RIVIERA","78379",2,1,2,0,0,0,1,746,0,746,0,1,0,0,0,"58e5d541-56a1-4bef-9067-4d9a851887fb"
1439,"TX","Nueces (County)","BANQUETE","78380",1,1,1,0,0,0,1,550,0,0,550,1,0,0,0,"82e5402f-51b9-41c9-bb5e-dd0fba4c377b"
1439,"TX","Nueces (County)","PETRONILA","78380",1,1,1,0,0,0,1,1186,0,1186,0,1,0,0,0,"c0b9dcd0-b3e6-48ff-a3f6-d4ee02d6e0f2"
1439,"TX","Nueces (County)","ROBSTOWN","78380",372,349,372,0,0,0,262,623390.44,0,107137,516253.44,261,1,0,0,"90d49928-5e25-4012-9c1f-7fed7cca52e7"
1439,"TX","Aransas (County)","ROCKPORT","78381",4,4,4,0,0,0,3,3780.24,0,2692,1088.24,3,0,0,0,"dd3ba98e-26b3-4f43-ad98-bec7ea0cd10e"
1439,"TX","Aransas (County)","ROCKPORT","78382",66,63,66,0,0,0,47,106244.98,345.46,32898,73001.52,47,0,0,0,"94535d36-2a37-4dd2-97ac-7039465c3a12"
1439,"TX","Jim Wells (County)","SANDIA","78383",2,2,2,0,0,0,1,1912.24,0,824,1088.24,1,0,0,0,"07f3a44f-ef35-4931-9a60-92dbfb959838"
1439,"TX","Nueces (County)","SANDIA","78383",1,1,1,0,0,0,1,1186,0,1186,0,1,0,0,0,"8c56e181-5be2-4dc0-bccd-b99b13612d70"
1439,"TX","San Patricio (County)","SINTON","78387",42,40,42,0,0,0,29,59470.04,0,21881,37589.04,29,0,0,0,"6b32423f-c24a-4b87-9a5c-df79cf1ed1a1"
1439,"TX","San Patricio (County)","SINTON ","78387",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"e4154b03-3e8e-481b-a962-8612965eb99d"
1439,"TX","San Patricio (County)","TAFT","78390",83,79,83,0,0,0,63,178722.74,0,53108,125614.74,63,0,0,0,"ccab656c-a9c1-4661-a980-db24279b3801"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78401",245,227,245,0,0,0,185,502625.8,0,64897,437728.8,185,0,0,0,"e153a12b-891d-4efe-a4ae-403466e1f0db"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78402",1,1,1,0,0,0,1,3309.35,0,930,2379.35,1,0,0,0,"ee5fcb7d-4775-464e-b61d-f8e8228d783a"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78403",2,1,2,0,0,0,1,7396.15,0,1910,5486.15,1,0,0,0,"2d29e899-b678-49e4-850b-9d9531ad5ae5"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78404",123,109,123,0,0,0,81,191279.36,0,57647,133632.36,80,1,0,0,"88c97cf8-f63d-44e9-934d-504ae2396aa7"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78405",408,354,408,0,0,0,284,877751.47,0,178467.14,699284.33,274,10,0,0,"172f13b3-9d13-471c-bb7c-63f3e6bf4dd5"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78406",11,9,11,0,0,0,5,4646.44,0,1860,2786.44,5,0,0,0,"a7d0da35-23a6-42ed-9367-b30ba5a46519"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78407",201,188,201,0,0,0,156,447846.92,0,89502,358344.92,155,1,0,0,"3f0eb22d-949e-400b-856c-eeda61ed57b8"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78408",448,379,448,0,0,0,280,858693.18,0,177214,681479.18,275,5,0,0,"45c1702f-9089-42ff-9525-48e1c10c91a9"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78409",14,13,14,0,0,0,11,28343.54,0,6313,22030.54,11,0,0,0,"691be3ca-6582-4c3e-9dea-f842c7576e73"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78410",74,62,74,0,0,0,48,97887.26,0,16728,81159.26,48,0,0,0,"c7380682-3ad4-4634-a177-93e778e85da1"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78411",75,67,75,0,0,0,41,82037.85,0,12801,69236.85,41,0,0,0,"fc697667-f58d-4df2-a8ee-bc566a8586f5"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78412",127,107,127,0,0,0,78,167677.01,0,21596,146081.01,76,2,0,0,"eb7c5bc5-417f-4d1e-9114-239cb8a3615f"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78413",63,48,63,0,0,0,34,83450.53,0,9871,73579.53,34,0,0,0,"40c3613d-d624-47f9-bb5c-6d817bdd9d49"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78414",15,12,15,0,0,0,8,7138.95,0,1395,5743.95,8,0,0,0,"2f790cc2-4235-47aa-9826-96c7e81e2bfd"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78415",275,224,275,0,0,0,160,445715.16,0,63186,382529.16,159,1,0,0,"661f9578-a8af-453d-b713-33fc2df4e98d"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78416",225,198,225,0,0,0,139,305008.19,0,60209,244799.19,138,1,0,0,"e926f552-e8b0-477d-b26a-b6d668a5416c"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78417",16,13,16,0,0,0,8,15932.25,0,0,15932.25,8,0,0,0,"a864cf64-d7ba-40f1-8ee6-080ed1e8282b"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78418",49,43,49,0,0,0,28,69686.17,0,14312,55374.17,28,0,0,0,"7d0b9678-b048-4efd-89b7-ea749a64e103"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78427",1,1,1,0,0,0,1,550,0,0,550,1,0,0,0,"70656889-94bd-41a9-aae2-e8409bf333b5"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78460",1,1,1,0,0,0,1,1616,0,1616,0,1,0,0,0,"892bef28-a202-4f47-ac86-4de8d3b3ec4e"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78469",2,2,2,0,0,0,2,10605.64,0,2116,8489.64,2,0,0,0,"14286bba-21e2-4499-9b64-4ebf41d166ad"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78478",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"4cc36a06-86d7-4987-b9a4-ff039dcb22af"
1439,"TX","Nueces (County)","CORPUS CHRISTI","78480",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"380a3f04-ffc4-4c51-b7fc-fc2ae1aca486"
1439,"TX","Hidalgo (County)","MCALLEN","78501",13,13,13,0,0,0,8,9294.75,0,4938,4356.75,8,0,0,0,"4d6a0254-be69-4ee8-a6ca-914cf5aaa755"
1439,"TX","Hidalgo (County)","MCALLEN","78503",3,2,3,0,0,0,2,5609.52,0,2022,3587.52,2,0,0,0,"fcf20289-d263-42f4-b0f8-c62e9aea7eba"
1439,"TX","Hidalgo (County)","ALAMO","78516",13,13,13,0,0,0,10,26282.35,0,8530,17752.35,9,1,0,0,"19236b0d-b8c1-42f7-989a-8b333f46f3d6"
1439,"TX","Cameron (County)","BROWNSVILLE","78520",5,5,5,0,0,0,2,3114.89,0,1002,2112.89,2,0,0,0,"a01a1a0c-5929-41e8-af78-17ec7ee22d06"
1439,"TX","Cameron (County)","BROWNSVILLE","78521",3,3,3,0,0,0,2,5368.79,0,1804,3564.79,2,0,0,0,"6a542894-dca8-4d37-a5de-331b1394a164"
1439,"TX","Hidalgo (County)","DONNA","78537",28,26,28,0,0,0,15,27442.38,0,6072,21370.38,15,0,0,0,"58d1fce7-e60a-4d80-89ce-13c962157054"
1439,"TX","Hidalgo (County)","EDCOUCH","78538",37,37,37,0,0,0,22,35459.25,0,7638,27821.25,22,0,0,0,"e97da243-6c6e-4698-a612-d4019e0a5a05"
1439,"TX","Hidalgo (County)","EDINBURG","78539",75,70,75,0,0,0,52,97733.73,0,26286,71447.73,52,0,0,0,"8b22b5d5-7f78-467c-a5a7-23544a84006f"
1439,"TX","Hidalgo (County)","SAN CARLOS","78539",2,2,2,0,0,0,2,9662.6,0,1686,7976.6,2,0,0,0,"403b86ea-8c50-4e68-9f63-9ad9efb47cb9"
1439,"TX","Hidalgo (County)","EDINBURG","78541",57,55,57,0,0,0,38,64622.07,0,23872,40750.07,38,0,0,0,"0173324d-82e5-454b-9790-648677f4ad42"
1439,"TX","Hidalgo (County)","ELSA","78543",28,28,28,0,0,0,15,26759.62,0,8766,17993.62,15,0,0,0,"d60aa47c-e0ea-4c0c-9203-5b61f1185613"
1439,"TX","Hidalgo (County)","HARGILL","78549",9,9,9,0,0,0,4,5777.27,0,1686,4091.27,4,0,0,0,"4b3cc8b3-ee05-43c7-8359-92d04278f0e5"
1439,"TX","Cameron (County)","HARLINGEN","78550",5,5,5,0,0,0,3,3660.31,0,1002,2658.31,3,0,0,0,"6fcca4a0-a8a9-4ade-b1f8-667ecbc53271"
1439,"TX","Cameron (County)","HARLINGEN","78552",5,5,5,0,0,0,5,8289.96,0,2606,5683.96,5,0,0,0,"0f95a25a-4136-41bc-960e-4c56a5d44282"
1439,"TX","Hidalgo (County)","LA BLANCA","78558",3,3,3,0,0,0,1,3529.85,0,786,2743.85,1,0,0,0,"48fc8cb5-695d-4d12-942d-a65ead8a9adf"
1439,"TX","Cameron (County)","LA FERIA","78559",13,13,13,0,0,0,12,21599.22,0,7434,14165.22,12,0,0,0,"dcf259cc-78f6-47a3-b4e0-441e7ad99f1f"
1439,"TX","Hidalgo (County)","LA JOYA","78560",4,4,4,0,0,0,3,3273.6,0,2022,1251.6,3,0,0,0,"0de10369-61e7-4201-b2f7-4afecfc56b44"
1439,"TX","Hidalgo (County)","LA VILLA","78562",18,18,18,0,0,0,10,21867.44,0,2694,19173.44,10,0,0,0,"8b523a47-9ade-4474-8d80-b4d01fcc89e0"
1439,"TX","Hidalgo (County)","LOS EBANOS","78565",3,3,3,0,0,0,1,2695.43,0,900,1795.43,1,0,0,0,"27e780d3-c17f-46d5-a442-62e90dadf2dc"
1439,"TX","Cameron (County)","LOS FRESNOS","78566",9,9,9,0,0,0,9,21516.98,0,5412,16104.98,9,0,0,0,"d0db6deb-48b6-460a-9a62-a1ad2b4b53ea"
1439,"TX","Cameron (County)","LOZANO","78568",1,1,1,0,0,0,1,607.92,0,0,607.92,1,0,0,0,"100f17ee-48a0-4e87-893f-555e3b7cbfcb"
1439,"TX","Hidalgo (County)","MERCEDES","78570",46,46,46,0,0,0,26,57093.79,20.2,10902,46171.59,26,0,0,0,"88ab2075-da9d-4bf2-a17f-e30d16713fa8"
1439,"TX","Hidalgo (County)","ABRAM","78572",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"36e38310-953b-4e86-af51-4917ff2b89a6"
1439,"TX","Hidalgo (County)","MISSION","78572",66,66,66,0,0,0,40,67386.35,0,20118,47268.35,40,0,0,0,"1869d8a8-155f-48c6-ab7a-5fe76e2758f5"
1439,"TX","Hidalgo (County)","MISSION","78573",1,1,1,0,0,0,1,786,0,786,0,1,0,0,0,"bb854c09-2719-4dd3-8574-48a978aa3666"
1439,"TX","Hidalgo (County)","MISSION","78574",56,56,56,0,0,0,38,79926.01,0,22020,57906.01,37,1,0,0,"a31db5c8-c699-42d4-86b8-243fc505d7e5"
1439,"TX","Hidalgo (County)","PENITAS","78576",3,3,3,0,0,0,1,2095.84,0,900,1195.84,1,0,0,0,"ca985118-8b8d-4839-9f10-645f19d5c1bd"
1439,"TX","Hidalgo (County)","PHARR","78577",16,16,16,0,0,0,14,29526.12,0,12024,17502.12,14,0,0,0,"85e096b7-a9ec-40f3-bfcf-2900437ebe09"
1439,"TX","Cameron (County)","LAGUNA VISTA","78578",2,2,2,0,0,0,1,4688.55,0,802,3886.55,1,0,0,0,"6b231adb-caf2-408d-84eb-307401740c3a"
1439,"TX","Cameron (County)","PORT ISABEL","78578",3,3,3,0,0,0,3,13413.76,0,2606,10807.76,3,0,0,0,"b0318c74-67c9-41fb-985a-a71838b5a11a"
1439,"TX","Hidalgo (County)","PROGRESO","78579",44,42,44,0,0,0,37,87211.39,0,16766,70445.39,37,0,0,0,"c8734367-8fab-4a53-b881-358da1a4a1ef"
1439,"TX","Cameron (County)","RIO HONDO","78583",1,1,1,0,0,0,1,5934.05,0,802,5132.05,1,0,0,0,"0abd8b79-f171-4f03-8ced-720d38c8f5d5"
1439,"TX","Cameron (County)","SAN BENITO","78586",31,31,31,0,0,0,22,55001.6,0,16142,38859.6,22,0,0,0,"fd668652-b12d-462f-98d4-72a177ed8c0f"
1439,"TX","Hidalgo (County)","SAN JUAN","78589",21,21,21,0,0,0,13,18741.5,0,6320,12421.5,13,0,0,0,"b90465f9-ac26-44ee-b437-57479fbc287d"
1439,"TX","Cameron (County)","SANTA MARIA","78592",14,14,14,0,0,0,10,21206.67,0,6574,14632.67,10,0,0,0,"9b38bf6e-24a5-4742-b1f0-083da7335d27"
1439,"TX","Cameron (County)","SANTA ROSA","78593",2,2,2,0,0,0,1,5991.33,0,1002,4989.33,1,0,0,0,"cbc52026-08dc-4b9c-9c3e-3641ec22a134"
1439,"TX","Hidalgo (County)","SULLIVAN CITY","78595",10,10,10,0,0,0,8,19609.19,0,4158,15451.19,8,0,0,0,"80329305-8b78-4d54-ab65-636037b054c8"
1439,"TX","Hidalgo (County)","PROGRESO","78596",1,1,1,0,0,0,1,3267.31,0,1122,2145.31,1,0,0,0,"9350cc99-3ffc-4176-82be-b43e9dbc8d8f"
1439,"TX","Hidalgo (County)","WESLACO","78596",71,70,71,0,0,0,42,63156.04,0,23040,40116.04,42,0,0,0,"818490a9-dedb-480b-bdff-317e35cc975d"
1440,"AK","Denali (Borough)","GAKONA","99586",3,3,3,0,0,0,3,7326.27,0,0,7326.27,3,0,0,0,"2ed069c8-61f1-4d60-8507-11ff98b23218"
1440,"AK","Denali (Borough)","SLANA","99586",2,2,2,0,0,0,1,1336,0,1336,0,1,0,0,0,"d7eb8626-a7bf-4926-9c04-d046e8e27348"
1440,"AK","Denali (Borough)","GLENNALLEN","99588",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"2b9695f3-1fe7-454a-85a9-09aa1ed5c80f"
1440,"AK","Fairbanks North Star (Borough)","FAIRBANKS","99709",2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,"db179d49-2dbc-4fa8-b887-c9277911786b"
1440,"AK","Fairbanks North Star (Borough)","FAIRBANKS","99712",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"fe252672-fd15-4641-9cfc-10a1dcaed31c"
1440,"AK","Denali (Borough)","PAXSON","99737",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"f000df06-c90b-4cb7-b6b4-e8bad6d494e9"
1440,"AK","Denali (Borough)","NORTHWAY","99764",3,3,3,0,0,0,1,793.02,0,0,793.02,1,0,0,0,"fdff6f37-3433-4e9e-ad83-b36e46c1e53e"
1440,"AK","Denali (Borough)","STEVENS VILLAGE","99774",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"66abbd04-30db-44a7-927f-47a88c3f846f"
1440,"AK","Denali (Borough)","TANACROSS","99776",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"a9e5f4a0-b8fe-479a-8f2f-b41d4f59548a"
1440,"AK","Denali (Borough)","TETLIN","99779",3,3,3,0,0,0,1,335.21,0,0,335.21,1,0,0,0,"fa8fa986-e655-4ea3-853d-37576bef7c7e"
1440,"AK","Denali (Borough)","MENTASTA","99780",3,3,3,0,0,0,3,7719.47,0,1336,6383.47,3,0,0,0,"55e00491-1738-4c07-9630-304dd78f7f27"
1440,"AK","Denali (Borough)","MENTASTA LAKE","99780",14,13,14,0,0,0,8,12878.34,0,1504,11374.34,8,0,0,0,"1e73e8f8-8d79-4698-a1c8-b4b815347795"
1440,"AK","Denali (Borough)","TOK","99780",5,5,5,0,0,0,4,4550.84,0,1336,3214.84,4,0,0,0,"177ad496-5afc-4d50-a52e-228628920a18"
1441,"TN","Montgomery (County)","CLARKSVILLE","37040",1,1,1,0,0,0,1,550,0,0,550,1,0,0,0,"275eeeed-dad1-43dc-9fe9-b2dd259709a7"
1441,"TN","Montgomery (County)","CLARKSVILLE","37043",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"36247cec-2bcf-44f9-878a-a6a6225dff63"
1441,"TN","Marshall (County)","LEWISBURG","37091",6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,"2c652e81-193a-4846-8831-3160ece5448b"
1441,"TN","Sumner (County)","PORTLAND","37148",2,2,2,0,0,0,2,1900,0,1900,0,2,0,0,0,"c53e6e74-d7d1-4492-b7a5-7ce8e11ed6f5"
1441,"TN","Coffee (County)","MANCHESTER","37355",25,19,25,0,0,0,17,158048.01,0,14674,143374.01,9,8,0,3,"2c6c419c-7dbc-465b-beec-957337f41272"
1441,"TN","Anderson (County)","BRICEVILLE","37710",5,5,5,0,0,0,2,5687.12,0,2152,3535.12,2,0,0,0,"a855a945-dc97-4999-9b55-baa02e172c06"
1441,"TN","Anderson (County)","CLINTON","37716",1,1,1,0,0,0,1,804,0,804,0,1,0,0,0,"bf0dd182-9f7e-450c-9a38-6ba1b7403979"
1441,"TN","Morgan (County)","HARRIMAN","37748",2,2,2,0,0,0,2,25594,0,1147,24447,1,1,0,1,"91196258-c820-4b60-ab3e-8f930c44c4f1"
1441,"TN","Roane (County)","HARRIMAN","37748",2,2,2,0,0,0,1,2040.62,0,0,2040.62,1,0,0,0,"a4047496-e4c8-4c36-ad0c-cc35d92ebb25"
1441,"TN","Scott (County)","HUNTSVILLE","37756",8,7,8,0,0,0,3,20192.1,0,2332,17860.1,2,1,0,0,"222d3e1c-b5f1-4d93-a6b5-de693a46b8e5"
1441,"TN","Morgan (County)","KINGSTON","37763",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"c199b743-8b5a-4fc4-9d61-084f139fa093"
1441,"TN","Anderson (County)","LAKE CITY","37769",17,16,17,0,0,0,13,62810.87,0,10276,52534.87,10,3,0,0,"91d27282-0341-4a32-a67d-936dbd5e2131"
1441,"TN","Morgan (County)","OLIVER SPRINGS","37840",5,5,5,0,0,0,4,13936.63,0,2176,11760.63,3,1,0,0,"7b213f5c-9ff7-4948-820f-09ffa20c1c4f"
1441,"TN","Morgan (County)","PEATROS JOYNER","37840",1,1,1,0,0,0,1,594,0,594,0,1,0,0,0,"c23a67e6-5cdd-4fbd-ac8e-d3f9aa7f4834"
1441,"TN","Roane (County)","OLIVER SPRINGS","37840",2,2,2,0,0,0,1,594,0,594,0,1,0,0,0,"1572e2a9-3bc8-415a-85ef-d744d09daef4"
1441,"TN","Morgan (County)","PETROS","37845",5,5,5,0,0,0,4,42615.37,0,3320,39295.37,2,2,0,0,"53c9bcb5-477b-44e5-90a6-1867618c2a1a"
1441,"TN","Scott (County)","ROBBINS","37852",3,3,3,0,0,0,1,750,0,750,0,1,0,0,0,"822ec917-7917-44a3-aa05-0bd438ddddea"
1441,"TN","Roane (County)","ROCKWOOD","37854",1,1,1,0,0,0,1,15400.17,0,2550,12850.17,0,1,0,0,"4a89a19b-ec99-42b0-9ecb-8e17498d3b9b"
1441,"TN","Morgan (County)","MOSSEY GROVE","37887",1,1,1,0,0,0,1,5424.99,0,0,5424.99,1,0,0,0,"e65e2368-6a36-406c-92b3-a7ff6e568eb7"
